Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
basic_test_pdf_converter_6000U_600R_1L_40_CL:HTTP Request,6000,632,256,2082,3121,4026,169,5941,0.000%,9.99885,1.33,2.06
TOTAL,6000,632,256,2082,3121,4026,169,5941,0.000%,9.99885,1.33,2.06
